Class	Feature	Mean	Standard Deviation
both	142	0.0022856165	0.0293324248
both	143	0.0008428609	0.0276585264
both	144	-0.0004206236	0.0286168015
both	145	-0.0020417253	0.0271438483
both	146	-0.0034865239	0.0243640632
both	147	0.0008582397	0.0270379876
both	148	0.0003496107	0.0188725109
both	149	0.0007538389	0.0241641001
both	150	-0.0010774481	0.0244633636
both	151	-0.0000490548	0.0253245683
both	152	0.0001361744	0.0234919355
both	153	0.0005065712	0.0248912020
both	154	-0.0018187527	0.0247039847
both	155	0.0009513423	0.0237735237
both	156	0.0002724913	0.0242907358
both	157	0.0000398028	0.0241942590
both	158	0.0010642101	0.0243419318
both	159	-0.0004206969	0.0242885749
both	160	-0.0007751994	0.0238920329
both	161	-0.0000995761	0.0243878683
both	162	0.0007490378	0.0236817603
both	163	-0.0000380516	0.0226638921
both	164	-0.0004421450	0.0218176978
both	165	-0.0000896633	0.0225718593
both	166	0.0000446154	0.0223052512
both	167	-0.0002237009	0.0079975861
both	168	-0.0001687297	0.0217650490
both	169	-0.0007204395	0.0208770571
both	170	0.0004863549	0.0193729558
both	171	0.0004307981	0.0190891474
both	172	0.0001953719	0.0190482452
both	173	0.0008259273	0.0196087470
both	174	-0.0004691856	0.0188462061
both	175	0.0013042542	0.0203811507
both	176	0.0003002223	0.0172507771
both	177	-0.0005013189	0.0143229017
both	178	-0.0009417606	0.0099036002
both	179	0.0003112397	0.0154328133
both	180	0.0001676249	0.0178128681
both	181	0.0006338254	0.0176159672
both	182	0.0000130987	0.0173663956
both	183	0.0014492893	0.0166918548
both	184	-0.0004001862	0.0155935744
